name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Chile,CHL,CLP,2550,663.355,2017,2017-07-01,3.844095545
China,CHN,CNY,19.8,6.7875,2017,2017-07-01,2.917127072
Colombia,COL,COP,9900,3052.16,2017,2017-07-01,3.243604529
Costa Rica,CRI,CRC,2290,572.495,2017,2017-07-01,4.000034935
Czech Republic,CZE,CZK,75,22.8561,2017,2017-07-01,3.281399714
Denmark,DNK,DKK,30,6.51255,2017,2017-07-01,4.606490545
Egypt,EGY,EGP,31.37,17.885,2017,2017-07-01,1.753983785
Estonia,EST,EUR,3.15,0.875695083,2017,2017-07-01,3.5971425
Euro area,EUZ,EUR,3.91,0.875695083,2017,2017-07-01,4.4650245
Finland,FIN,EUR,4.56,0.875695083,2017,2017-07-01,5.207292
France,FRA,EUR,4.1,0.875695083,2017,2017-07-01,4.681995
Germany,DEU,EUR,3.9,0.875695083,2017,2017-07-01,4.453605
Greece,GRC,EUR,3.35,0.875695083,2017,2017-07-01,3.8255325
Hong Kong,HKG,HKD,19.2,7.8115,2017,2017-07-01,2.457914613
Hungary,HUN,HUF,862,268.6239,2017,2017-07-01,3.208947528
India,IND,INR,178,64.5575,2017,2017-07-01,2.757231925
Indonesia,IDN,IDR,32126,13369.5,2017,2017-07-01,2.402932047
Ireland,IRL,EUR,4.07,0.875695083,2017,2017-07-01,4.6477365
Israel,ISR,ILS,16.9,3.5405,2017,2017-07-01,4.773337099
Italy,ITA,EUR,4.2,0.875695083,2017,2017-07-01,4.79619
Japan,JPN,JPY,380,113.06,2017,2017-07-01,3.361047232
Malaysia,MYS,MYR,8.6,4.2935,2017,2017-07-01,2.003027833
Mexico,MEX,MXN,49,17.79075,2017,2017-07-01,2.754240265
Netherlands,NLD,EUR,3.61,0.875695083,2017,2017-07-01,4.1224395
New Zealand,NZL,NZD,6.1,1.376273053,2017,2017-07-01,4.432259999
Norway,NOR,NOK,49,8.2852,2017,2017-07-01,5.914160189
Pakistan,PAK,PKR,375,105.15,2017,2017-07-01,3.566333809
Peru,PER,PEN,10.5,3.2515,2017,2017-07-01,3.229278794
Philippines,PHL,PHP,134,50.5765,2017,2017-07-01,2.649451821
Poland,POL,PLN,10.1,3.7086,2017,2017-07-01,2.723399666
Portugal,PRT,EUR,3.25,0.875695083,2017,2017-07-01,3.7113375
Russia,RUS,RUB,137,60.1369,2017,2017-07-01,2.278135388
Saudi Arabia,SAU,SAR,12,3.75015,2017,2017-07-01,3.199872005
Singapore,SGP,SGD,5.6,1.3777,2017,2017-07-01,4.06474559
South Africa,ZAF,ZAR,30,13.27,2017,2017-07-01,2.260738508
South Korea,KOR,KRW,4400,1144.65,2017,2017-07-01,3.843969772
Spain,ESP,EUR,3.8,0.875695083,2017,2017-07-01,4.33941
Sri Lanka,LKA,LKR,580,153.725,2017,2017-07-01,3.772971215
Sweden,SWE,SEK,48.97,8.41565,2017,2017-07-01,5.818920701
Switzerland,CHE,CHF,6.5,0.96415,2017,2017-07-01,6.741689571
Taiwan,TWN,TWD,69,30.4775,2017,2017-07-01,2.26396522
Thailand,THA,THB,119,34.0365,2017,2017-07-01,3.496246676
Turkey,TUR,TRY,10.75,3.57605,2017,2017-07-01,3.006110094
UAE,ARE,AED,14,3.673,2017,2017-07-01,3.811598149
Ukraine,UKR,UAH,44,25.915,2017,2017-07-01,1.697858383
United States,USA,USD,5.3,1,2017,2017-07-01,5.3
Uruguay,URY,UYU,130,28.705,2017,2017-07-01,4.52882773
Venezuela,VEN,VEF,10950,2700,2017,2017-07-01,4.055555556
Vietnam,VNM,VND,60000,22732.5,2017,2017-07-01,2.63939294
Argentina,ARG,ARS,75,18.9375,2018,2018-01-01,3.96039604
Australia,AUS,AUD,5.9,1.253682693,2018,2018-01-01,4.706135
Austria,AUT,EUR,3.4,0.816826629,2018,2018-01-01,4.162449998
Belgium,BEL,EUR,4.1,0.816826629,2018,2018-01-01,5.019424997
Brazil,BRA,BRL,16.5,3.2279,2018,2018-01-01,5.111682518
Britain,GBR,GBP,3.19,0.72285673,2018,2018-01-01,4.413045999
Canada,CAN,CAD,6.55,1.2459,2018,2018-01-01,5.25724376
Chile,CHL,CLP,2600,605.935,2018,2018-01-01,4.290889287
China,CHN,CNY,20.4,6.432,2018,2018-01-01,3.171641791
Colombia,COL,COP,10900,2844.12,2018,2018-01-01,3.832468391
Costa Rica,CRI,CRC,2290,568.53,2018,2018-01-01,4.027931683
Czech Republic,CZE,CZK,79,20.747,2018,2018-01-01,3.807779438
Denmark,DNK,DKK,30,6.0827,2018,2018-01-01,4.93202032
Egypt,EGY,EGP,34.21,17.7,2018,2018-01-01,1.932768362
Estonia,EST,EUR,3.15,0.816826629,2018,2018-01-01,3.856387498
Euro area,EUZ,EUR,3.95,0.816826629,2018,2018-01-01,4.835787497
Finland,FIN,EUR,4.56,0.816826629,2018,2018-01-01,5.582579997
France,FRA,EUR,4.2,0.816826629,2018,2018-01-01,5.141849997
Germany,DEU,EUR,3.9,0.816826629,2018,2018-01-01,4.774574997
Greece,GRC,EUR,3.35,0.816826629,2018,2018-01-01,4.101237498
Hong Kong,HKG,HKD,20.5,7.819,2018,2018-01-01,2.621818647
Hungary,HUN,HUF,864,252.14215,2018,2018-01-01,3.426638505
India,IND,INR,180,63.86125,2018,2018-01-01,2.81861066
Indonesia,IDN,IDR,35750,13359,2018,2018-01-01,2.67609851
Ireland,IRL,EUR,4.07,0.816826629,2018,2018-01-01,4.982697497
Israel,ISR,ILS,16.5,3.43635,2018,2018-01-01,4.801606356
Italy,ITA,EUR,4.2,0.816826629,2018,2018-01-01,5.141849997
Japan,JPN,JPY,380,110.725,2018,2018-01-01,3.431925943
Malaysia,MYS,MYR,9,3.954,2018,2018-01-01,2.276176024
Mexico,MEX,MXN,48,18.6635,2018,2018-01-01,2.57186487
Netherlands,NLD,EUR,3.71,0.816826629,2018,2018-01-01,4.541967497
New Zealand,NZL,NZD,6.2,1.374664925,2018,2018-01-01,4.510190001
Norway,NOR,NOK,49,7.8501,2018,2018-01-01,6.241958701
Pakistan,PAK,PKR,375,110.505,2018,2018-01-01,3.393511606
Peru,PER,PEN,10.5,3.212,2018,2018-01-01,3.268991283
Philippines,PHL,PHP,134,50.725,2018,2018-01-01,2.641695416
Poland,POL,PLN,10.1,3.40575,2018,2018-01-01,2.965572928
Portugal,PRT,EUR,3.2,0.816826629,2018,2018-01-01,3.917599998
Russia,RUS,RUB,130,56.745,2018,2018-01-01,2.290950745
Saudi Arabia,SAU,SAR,12,3.7503,2018,2018-01-01,3.19974402
Singapore,SGP,SGD,5.8,1.32255,2018,2018-01-01,4.385467468
South Africa,ZAF,ZAR,30,12.25815,2018,2018-01-01,2.447351354
South Korea,KOR,KRW,4400,1069.25,2018,2018-01-01,4.115033902
Spain,ESP,EUR,3.95,0.816826629,2018,2018-01-01,4.835787497
Sri Lanka,LKA,LKR,580,153.8,2018,2018-01-01,3.771131339
Sweden,SWE,SEK,49.1,8.0188,2018,2018-01-01,6.12311069
Switzerland,CHE,CHF,6.5,0.96085,2018,2018-01-01,6.764843628
Taiwan,TWN,TWD,69,29.553,2018,2018-01-01,2.334788346
Thailand,THA,THB,119,31.95,2018,2018-01-01,3.72456964
Turkey,TUR,TRY,10.75,3.8026,2018,2018-01-01,2.827013096
UAE,ARE,AED,14,3.673,2018,2018-01-01,3.811598149
Ukraine,UKR,UAH,47,28.715,2018,2018-01-01,1.636775205
United States,USA,USD,5.28,1,2018,2018-01-01,5.28
Uruguay,URY,UYU,140,28.58,2018,2018-01-01,4.898530441
Venezuela,VEN,VEF,0,0,2018,2018-01-01,#DIV/0!
Vietnam,VNM,VND,65000,22711.5,2018,2018-01-01,2.861986218
United Arab Emirates,ARE,AED,14,3.67315,2018,2018-07-01,3.811442495
Argentina,ARG,ARS,75,27.725,2018,2018-07-01,2.705139766
Australia,AUS,AUD,6.05,1.339853956,2018,2018-07-01,4.5154175
Austria,AUT,EUR,3.4,0.8532059212,2018,2018-07-01,3.98497
Azerbaijan,AZE,AZN,3.95,1.70175,2018,2018-07-01,2.321140003
Belgium,BEL,EUR,4.1,0.8532059212,2018,2018-07-01,4.805405
Bahrain,BHR,BHD,1.2,0.37955,2018,2018-07-01,3.161638783
Brazil,BRA,BRL,16.9,3.83835,2018,2018-07-01,4.402933552
Canada,CAN,CAD,6.65,1.31235,2018,2018-07-01,5.06724578
Switzerland,CHE,CHF,6.5,0.99325,2018,2018-07-01,6.544173169
Chile,CHL,CLP,2640,651.73,2018,2018-07-01,4.050757215
China,CHN,CNY,20.5,6.622,2018,2018-07-01,3.095741468
Colombia,COL,COP,11900,2874.07,2018,2018-07-01,4.140469787
Costa Rica,CRI,CRC,2290,567.8,2018,2018-07-01,4.03311025
Czech Republic,CZE,CZK,75,22.06475,2018,2018-07-01,3.399086779
Germany,DEU,EUR,4.12,0.8532059212,2018,2018-07-01,4.828846
Denmark,DNK,DKK,30,6.3591,2018,2018-07-01,4.717648724
Egypt,EGY,EGP,31.37,17.905,2018,2018-07-01,1.752024574
Spain,ESP,EUR,4.1,0.8532059212,2018,2018-07-01,4.805405
Estonia,EST,EUR,3.15,0.8532059212,2018,2018-07-01,3.6919575
Euro area,EUZ,EUR,4.04,0.8532059212,2018,2018-07-01,4.735082
Finland,FIN,EUR,4.62,0.8532059212,2018,2018-07-01,5.414871
France,FRA,EUR,4.2,0.8532059212,2018,2018-07-01,4.92261
Britain,GBR,GBP,3.19,0.7538635507,2018,2018-07-01,4.231535
Greece,GRC,EUR,3.35,0.8532059212,2018,2018-07-01,3.9263675
